ivm1010;ivm342;12
ivm101;ivm999;3
ivm1028;ivm517;1
ivm1030;ivm898;14
ivm1034;ivm546;2
ivm1042;ivm764;9
ivm104;ivm953;5
ivm1053;ivm870;13
ivm1055;ivm778;12
ivm1066;ivm689;9
ivm106;ivm734;22
ivm1071;ivm491;2
ivm1075;ivm953;7
ivm1078;ivm779;12
ivm1090;ivm759;7
ivm1097;ivm959;4
ivm1098;ivm697;2
ivm1100;ivm839;6
ivm1101;ivm965;2
ivm1103;ivm696;7
ivm111;ivm845;1
ivm1136;ivm1131;2
ivm1139;ivm833;10
ivm1148;ivm1052;15
ivm1150;ivm1010;12
ivm1157;ivm432;3
ivm115;ivm832;1
ivm1162;ivm999;3
ivm1190;ivm650;5
ivm1192;ivm1302;5
ivm1196;ivm91;20
ivm1201;ivm292;4
ivm1206;ivm1033;5
ivm1218;ivm1206;3
ivm121;ivm894;8
ivm1232;ivm622;4
ivm1235;ivm903;6
ivm1236;ivm1028;1
ivm1240;ivm986;8
ivm1244;ivm983;23
ivm1245;ivm173;11
ivm1247;ivm211;17
ivm1248;ivm1441;3
ivm1249;ivm1393;11
ivm124;ivm771;2
ivm1272;ivm155;5
ivm1288;ivm384;4
ivm128;ivm891;13
ivm1299;ivm675;5
ivm1303;ivm145;31
ivm1308;ivm1286;1
ivm1309;ivm766;3
ivm1311;ivm307;2
ivm132;ivm333;1
ivm1332;ivm1309;1
ivm1345;ivm119;17
ivm134;ivm1065;1
ivm1362;ivm199;4
ivm1370;ivm1295;3
ivm1378;ivm145;3
ivm1380;ivm426;5
ivm1385;ivm150;4
ivm1387;ivm380;1
ivm1392;ivm969;15
ivm1393;ivm210;1
ivm1395;ivm5;5
ivm1414;ivm168;10
ivm1421;ivm766;3
ivm1426;ivm58;3
ivm1431;ivm182;7
ivm1449;ivm435;13
ivm1451;ivm912;6
ivm1457;ivm286;2
ivm145;ivm995;2
ivm1480;ivm19;9
ivm1484;ivm903;3
ivm149;ivm769;1
ivm1506;ivm62;1
ivm1509;ivm1215;1
ivm150;ivm675;4
ivm1608;ivm865;9
ivm1622;ivm1186;1
ivm1651;ivm119;7
ivm1677;ivm1370;4
ivm1678;ivm315;13
ivm1679;ivm510;17
ivm167;ivm321;9
ivm1680;ivm199;3
ivm1682;ivm1404;10
ivm1700;ivm58;3
ivm170;ivm546;4
ivm1722;ivm1392;1
ivm1759;ivm731;4
ivm1769;ivm1066;4
ivm179;ivm342;7
ivm181;ivm969;4
ivm184;ivm949;10
ivm189;ivm1070;6
ivm213;ivm428;1
ivm216;ivm955;2
ivm225;ivm966;17
ivm249;ivm938;1
ivm252;ivm979;5
ivm255;ivm795;8
ivm266;ivm898;25
ivm291;ivm342;14
ivm295;ivm229;8
ivm309;ivm333;1
ivm30;ivm926;8
ivm313;ivm922;14
ivm315;ivm953;8
ivm349;ivm953;4
ivm355;ivm476;2
ivm356;ivm1070;7
ivm35;ivm689;11
ivm366;ivm229;11
ivm368;ivm1005;4
ivm36;ivm569;6
ivm37;ivm890;8
ivm380;ivm860;9
ivm383;ivm936;4
ivm393;ivm282;1
ivm42;ivm659;6
ivm45;ivm861;15
ivm475;ivm327;1
ivm495;ivm1020;9
ivm49;ivm435;31
ivm4;ivm236;4
ivm50;ivm616;7
ivm517;ivm286;4
ivm521;ivm513;10
ivm539;ivm1132;11
ivm550;ivm449;13
ivm557;ivm556;2
ivm55;ivm234;10
ivm58;ivm979;4
ivm598;ivm336;8
ivm60;ivm757;9
ivm631;ivm548;1
ivm639;ivm278;5
ivm64;ivm890;8
ivm66;ivm295;14
ivm683;ivm631;2
ivm694;ivm535;7
ivm6;ivm608;8
ivm700;ivm591;5
ivm744;ivm557;7
ivm746;ivm559;5
ivm74;ivm958;6
ivm75;ivm983;15
ivm760;ivm630;2
ivm77;ivm141;7
ivm794;ivm513;4
ivm797;ivm600;6
ivm805;ivm393;7
ivm818;ivm229;4
ivm829;ivm690;6
ivm838;ivm436;8
ivm839;ivm689;6
ivm841;ivm1107;9
ivm847;ivm691;5
ivm863;ivm451;3
ivm864;ivm627;6
ivm878;ivm1025;1
ivm888;ivm664;1
ivm900;ivm499;7
ivm914;ivm1009;1
ivm918;ivm689;7
ivm92;ivm266;28
ivm940;ivm716;9
ivm954;ivm392;21
ivm963;ivm535;6
ivm966;ivm699;16
ivm977;ivm531;3
ivm981;ivm757;11
ivm984;ivm849;4
ivm986;ivm811;8
ivm987;ivm922;1
ivm997;ivm928;8
ivm999;ivm771;2
ivm9;ivm240;8
ivm1010;ivm675;8
ivm1017;ivm865;5
ivm1018;ivm990;1
ivm1029;ivm558;11
ivm1029;ivm738;1
ivm1029;ivm896;3
ivm1035;ivm560;2
ivm1036;ivm741;1
ivm1039;ivm743;5
ivm1039;ivm747;6
ivm1050;ivm1127;2
ivm105;ivm94;14
ivm1086;ivm643;8
ivm108;ivm1089;7
ivm108;ivm865;5
ivm1094;ivm535;3
ivm1094;ivm694;4
ivm1094;ivm963;5
ivm1100;ivm689;5
ivm1103;ivm836;2
ivm112;ivm959;5
ivm1135;ivm113;14
ivm1135;ivm219;11
ivm1137;ivm983;1
ivm113;ivm830;2
ivm1141;ivm528;5
ivm1150;ivm342;7
ivm1150;ivm675;9
ivm1150;ivm958;10
ivm1162;ivm771;2
ivm1164;ivm142;4
ivm1167;ivm614;14
ivm1171;ivm558;11
ivm1171;ivm738;12
ivm1179;ivm1139;13
ivm117;ivm778;6
ivm1181;ivm119;13
ivm1181;ivm1345;14
ivm1183;ivm1144;1
ivm1194;ivm1225;2
ivm1194;ivm149;1
ivm1199;ivm494;3
ivm1199;ivm674;5
ivm1203;ivm728;5
ivm1212;ivm1171;9
ivm1212;ivm168;11
ivm1212;ivm738;8
ivm1216;ivm983;9
ivm1220;ivm185;3
ivm1220;ivm906;4
ivm1225;ivm149;1
ivm1228;ivm566;2
ivm1234;ivm372;5
ivm1235;ivm743;3
ivm1244;ivm75;8
ivm1245;ivm1218;10
ivm1246;ivm1019;21
ivm1246;ivm203;22
ivm1249;ivm210;1
ivm125;ivm743;2
ivm125;ivm903;3
ivm126;ivm619;13
ivm1288;ivm1154;3
ivm1296;ivm881;10
ivm1302;ivm938;2
ivm1303;ivm995;30
ivm1312;ivm1051;4
ivm1312;ivm837;3
ivm1334;ivm816;10
ivm1335;ivm244;2
ivm1339;ivm692;13
ivm1341;ivm114;4
ivm1343;ivm1103;4
ivm1343;ivm221;7
ivm1349;ivm1240;9
ivm1378;ivm995;2
ivm1384;ivm966;14
ivm1385;ivm74;3
ivm1392;ivm181;14
ivm1414;ivm738;9
ivm1415;ivm728;10
ivm1422;ivm283;2
ivm1426;ivm184;2
ivm1427;ivm7;8
ivm1428;ivm214;3
ivm1429;ivm881;13
ivm1432;ivm1051;4
ivm1432;ivm837;3
ivm1439;ivm655;13
ivm1440;ivm1157;4
ivm1440;ivm432;2
ivm1449;ivm659;5
ivm1453;ivm244;2
ivm1465;ivm718;9
ivm1468;ivm1295;1
ivm1480;ivm171;8
ivm1481;ivm75;4
ivm1486;ivm1441;3
ivm148;ivm484;1
ivm148;ivm919;2
ivm1507;ivm1021;5
ivm150;ivm958;22
ivm155;ivm651;3
ivm156;ivm1131;1
ivm160;ivm655;16
ivm162;ivm659;7
ivm1651;ivm1345;5
ivm1677;ivm1295;5
ivm1679;ivm1019;10
ivm167;ivm556;7
ivm167;ivm895;1
ivm168;ivm558;5
ivm168;ivm738;4
ivm169;ivm389;2
ivm1700;ivm184;2
ivm170;ivm1034;1
ivm1745;ivm1118;2
ivm1766;ivm734;24
ivm1766;ivm967;27
ivm1769;ivm1407;1
ivm184;ivm1100;5
ivm184;ivm689;7
ivm184;ivm839;6
ivm184;ivm979;4
ivm189;ivm953;5
ivm198;ivm769;1
ivm203;ivm1019;19
ivm203;ivm303;21
ivm206;ivm1089;9
ivm20;ivm837;3
ivm215;ivm1088;14
ivm219;ivm532;7
ivm219;ivm830;6
ivm221;ivm1103;10
ivm221;ivm696;8
ivm221;ivm836;9
ivm225;ivm699;16
ivm255;ivm577;4
ivm266;ivm1030;16
ivm292;ivm685;1
ivm295;ivm228;3
ivm298;ivm1009;1
ivm298;ivm463;2
