what,kind,bundleId,bundleVersion,description,time
os,sysinfo,,,"linux",1263594267192
arch,sysinfo,,,"x86_64",1263594267192
ws,sysinfo,,,"gtk",1263594267192
locale,sysinfo,,,"ru_RU",1263594267192
processors,sysinfo,,,"1",1263594267193
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1263594267193
java.runtime.version,sysinfo,,,"1.6.0_0-b14",1263594267193
java.specification.name,sysinfo,,,"Java Platform API Specification",1263594267193
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1263594267193
java.specification.version,sysinfo,,,"1.6",1263594267193
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1263594267193
java.version,sysinfo,,,"1.6.0_0",1263594267193
java.vm.info,sysinfo,,,"mixed mode",1263594267193
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1263594267193
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1263594267193
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1263594267193
java.vm.specification.version,sysinfo,,,"1.0",1263594267193
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1263594267193
java.vm.version,sysinfo,,,"14.0-b08",1263594267193
started,bundle,org.eclipse.wst.html.core,1.1.300.v200903120608,"org.eclipse.wst.html.core",1263594268960
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1263594270105
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1263594270190
started,bundle,org.tigris.subversion.clientadapter.javahl,1.6.6,"org.tigris.subversion.clientadapter.javahl",1263594270399
started,bundle,org.tigris.subversion.clientadapter.svnkit,1.6.4,"org.tigris.subversion.clientadapter.svnkit",1263594270457
started,bundle,org.eclipse.team.cvs.ui,3.3.201.R35x_v20090826-0905,"org.eclipse.team.cvs.ui",1263594272867
